step,attained_age,attained_age_years_floor,annual_mortality_rate,monthly_survival_rate,survival_to_start_of_step,payable_at_start_of_step,payment_indicator,cashflow,spot_rate,discount_factor,discounted_cashflow
0,31.2,31,0.000602,0.999949819486188,1,0,0,0,0.056512451365165,1,0
1,31.2833333333333,31,0.000602,0.999949819486188,0.999949819486188,0,0,0,0.0510915484575381,0.995856176582594,0
2,31.3666666666667,31,0.000602,0.999949819486188,0.999899638995753,0,0,0,0.0503378961786378,0.991705074458857,0
3,31.45,31,0.000602,0.999949819486188,0.999849458528695,0,0,0,0.0511621346534421,0.987601451649213,0
4,31.5333333333333,31,0.000602,0.999949819486188,0.999799278085013,0,0,0,0.053653234075643,0.98343066536926,0
5,31.6166666666667,31,0.000602,0.999949819486188,0.999749097664706,0,0,0,0.0572164177243506,0.979180103968653,0
6,31.7,31,0.000602,0.999949819486188,0.999698917267774,0,0,0,0.057991635569334,0.974974663206095,0
7,31.7833333333333,31,0.000602,0.999949819486188,0.999648736894218,0,0,0,0.0552159952930361,0.970855862766904,0
8,31.8666666666667,31,0.000602,0.999949819486188,0.999598556544037,0,0,0,0.0543604449988902,0.966760473832859,0
9,31.95,31,0.000602,0.999949819486188,0.999548376217231,0,0,0,0.0550914881080389,0.962632976502657,0
10,32.0333333333333,32,0.000609,0.999949239628646,0.9994983959138,0,0,0,0.0579927600920945,0.958418036797765,0
11,32.1166666666667,32,0.000609,0.999949239628646,0.999448145862424,0,0,0,0.0571677885204554,0.954292301723266,0
